Country,Year,Unemployment,Delta_Unemployment,COORD,GDPGrowth,Inflation,ExportDependence,GovSpend
Belgium,2005,8.44,1.076999999999999,5.0,2.32173792911834,2.78143263670029,74.2828289213953,22.093997631255
Belgium,2006,8.246,-0.19399999999999906,5.0,2.55234087322462,1.79120770070453,76.8049970552189,21.9387885339603
Belgium,2007,7.459,-0.7870000000000008,5.0,3.67692462515802,1.82305630026809,78.3018047028263,21.6158948183584
Belgium,2008,6.976,-0.48299999999999965,5.0,0.446905130727231,4.48944420508404,80.8806199752035,22.6661446948071
Belgium,2009,7.908,0.9320000000000004,5.0,-1.90644105515335,-0.0531456741254176,68.5960770690546,24.1041091935264
Belgium,2010,8.293,0.3849999999999989,5.0,2.71031150254662,2.18929920422458,75.8282898692443,23.7260022508386
Belgium,2011,7.14,-1.1529999999999996,5.0,1.93115502411325,3.5320821072274,80.2713643518839,23.8730556199494
Belgium,2012,7.542,0.40200000000000014,5.0,0.215803612089744,2.83966343445899,80.0489721342421,24.1930798182891
Belgium,2013,8.425,0.8830000000000009,5.0,0.305494549070232,1.11309594027539,78.9114134413606,24.205791803329
Belgium,2014,8.523,0.09799999999999898,5.0,1.76554038149924,0.340002833356921,79.3965205800202,24.1169029008666
Belgium,2015,8.482,-0.04100000000000037,5.0,1.47416433731927,0.561429152790157,77.8777392199991,23.681203644432
Belgium,2016,7.83,-0.6519999999999992,5.0,1.19350273007754,1.97385264653162,79.6181317071952,23.3498908084191
Belgium,2017,7.09,-0.7400000000000002,5.0,1.47446761556785,2.12597086002616,83.4444050525116,23.1178023270709
Belgium,2018,5.941,-1.149,5.0,1.87796847383565,2.05316499865177,83.4830567161373,23.1696191313969
Belgium,2019,5.364,-0.577,5.0,2.4428900448156,1.43681956996438,82.9674275396401,23.0038112825895
Belgium,2020,5.545,0.18100000000000005,5.0,-4.7929839083518,0.740791812220343,79.1968705613294,24.3008045914304
Belgium,2021,6.248,0.7030000000000003,5.0,6.25445686466593,2.44024851144084,89.6253551052155,23.8396339313803
Belgium,2022,5.57,-0.6779999999999999,5.0,3.9562379757933,9.597511728725,94.4213446744405,23.5865586358746
Belgium,2023,5.547,-0.023000000000000576,5.0,1.71412195515242,4.04901077613941,82.7431955739295,23.5329643613137
Canada,2000,6.829,NA,1.0,5.1385391803606,2.71943995691976,44.209235821106,19.1064161806335
Canada,2001,7.219,0.39000000000000057,1.0,1.87509810696022,2.52512013979905,42.0399550909321,19.5093203790186
Canada,2002,7.665,0.44599999999999973,1.0,2.99925535017809,2.25839440940855,40.0586585930818,19.7787192119877
Canada,2003,7.574,-0.09100000000000019,1.0,1.80638512302554,2.75856321360112,36.8659851985508,19.8962017689692
Canada,2004,7.185,-0.38900000000000023,1.0,3.09236384292251,1.85725871857256,37.3277713060483,19.4174844503805
Canada,2005,6.758,-0.4269999999999996,1.0,3.21045439063563,2.21355203439767,36.8567073235071,19.0759109803014
Canada,2006,6.484,-0.274,1.0,2.63794375007348,2.00202539534161,35.4024592168513,19.2487641773811
Canada,2007,6.156,-0.3280000000000003,1.0,2.04990463726786,2.13838399266837,34.229555163977,19.2505356033619
Canada,2008,6.284,0.1280000000000001,1.0,0.995406301140747,2.37027067444298,34.3950055520687,19.7194394824506
Canada,2009,8.46,2.176000000000001,1.0,-2.91508621550267,0.299466803009299,28.5158343165743,21.9645855050549
Canada,2010,8.178,-0.28200000000000003,1.0,3.09080634469335,1.77687154092627,29.1673819330319,21.4754574603582
Canada,2011,7.637,-0.5410000000000013,1.0,3.13719442170364,2.91213508872351,30.6783919173107,21.1458668604215
Canada,2012,7.392,-0.24499999999999922,1.0,1.75566129145483,1.51567823124516,30.3530255225878,21.0578451788387
Canada,2013,7.143,-0.24900000000000055,1.0,2.32581354806429,0.938291897815316,30.3319386683867,20.7043347111761
Canada,2014,7.023,-0.1200000000000001,1.0,2.87346677785811,1.90663590717861,31.7365758733408,20.266560128167
Canada,2015,6.945,-0.0779999999999994,1.0,0.649971001734855,1.12524136094277,31.8499609634443,20.8778251262785
Canada,2016,7.038,0.09299999999999997,1.0,1.03855092490855,1.42875954701085,31.5025724093362,21.0480401948524
Canada,2017,6.426,-0.6120000000000001,1.0,3.03383491200222,1.59688412852976,31.4544101509781,20.7033313853187
Canada,2018,5.837,-0.5890000000000004,1.0,2.74296344906655,2.26822567248103,32.3254037264858,20.6814326967462
Canada,2019,5.69,-0.14699999999999935,1.0,1.90843194590616,1.94926902411592,32.3526958202565,20.6634960880685
Canada,2020,9.657,3.9669999999999996,1.0,-5.03823343468899,0.716999632307827,29.4736472349344,22.7011077555498
Canada,2021,7.527,-2.13,1.0,5.95052802804381,3.39519318527527,31.1750782983294,21.2842897783513
Canada,2022,5.279,-2.248,1.0,4.18903628100851,6.80280115341612,33.9431906669379,20.4184233971953
Canada,2023,5.415,0.13600000000000012,1.0,1.52874550838358,3.87900159788425,33.3498760996793,20.9054437744776
Denmark,2000,4.476,NA,4.0,3.72400899471576,2.90328203236461,44.8786835833686,23.8904895144931
Denmark,2001,4.164,-0.3120000000000003,4.0,0.95003224600012,2.33787000255262,45.5295862400865,24.3116116711211
Denmark,2002,4.274,0.11000000000000032,4.0,0.456530018779986,2.42443661219694,45.6653553506862,24.8477658486744
